r,gtt,grr,phi,gtt_schw,grr_schw
1.018602491809093458e+00,1.825395350982044265e-02,5.463644040660231127e+01,7.077253777602775520e-01,1.826275898466966918e-02,5.475623923194908826e+01
1.019071706575480851e+00,1.870700654818847550e-02,5.331386924667536675e+01,7.077200488504746811e-01,1.871478371190382628e-02,5.343369260334729631e+01
1.019541137483590543e+00,1.915993192592510205e-02,5.205424469090496586e+01,7.077147174859328427e-01,1.916660031180450474e-02,5.217409366981533481e+01
1.020010784632987555e+00,1.961272994053615479e-02,5.085317735247016913e+01,7.077093836655213854e-01,1.961820888020093800e-02,5.097305294823416233e+01
1.020480648123281986e+00,2.006540081481713797e-02,4.970667668239442349e+01,7.077040473881089921e-01,2.006960951287706241e-02,4.982657980258061770e+01
1.020950728054130785e+00,2.051794470022496111e-02,4.861110667561259646e+01,7.076987086525637904e-01,2.052080230557407070e-02,4.873103814895043229e+01
1.021421024525236199e+00,2.097036168015224342e-02,4.756314735179256559e+01,7.076933674577535749e-01,2.097178735398841365e-02,4.768310793547217941e+01
1.021891537636346436e+00,2.142265177311313690e-02,4.655976115122188475e+01,7.076880238025452519e-01,2.142256475377213309e-02,4.667975153740253091e+01
1.022362267487255894e+00,2.187481493584096312e-02,4.559816352930767636e+01,7.076826776858057277e-01,2.187313460053397218e-02,4.571818435093376110e+01
1.022833214177804706e+00,2.232685106629625493e-02,4.467579715015950370e+01,7.076773291064010207e-01,2.232349698983815411e-02,4.479584898616953126e+01
1.023304377807879195e+00,2.277876000659145861e-02,4.379030917559410341e+01,7.076719780631965939e-01,2.277365201720504828e-02,4.391039255559536514e+01
1.023775758477411646e+00,2.323054154583139436e-02,4.293953122488571950e+01,7.076666245550576884e-01,2.322359977811117027e-02,4.305964663335807785e+01
1.024247356286380084e+00,2.368219542287149440e-02,4.212146164588843078e+01,7.076612685808487679e-01,2.367334036798873775e-02,4.224160952597155472e+01
1.024719171334809165e+00,2.413372132899723604e-02,4.133424979237678798e+01,7.076550920331503569e-01,2.412287388222644768e-02,4.145443054928842486e+01
1.025191203722769062e+00,2.458511891052364215e-02,4.057618204764896319e+01,7.076487038753662695e-01,2.457220041616869910e-02,4.069639605177533070e+01
1.025663453550376358e+00,2.503638777131941828e-02,3.984566937222336236e+01,7.076423127749054132e-01,2.502132006511614826e-02,3.996591696191781296e+01
1.026135920917793598e+00,2.548752747525547674e-02,3.914123618519462866e+01,7.076359187304120946e-01,2.547023292432559760e-02,3.926151766931585740e+01
1.026608605925229512e+00,2.593853754857999155e-02,3.846151041552688099e+01,7.076295217405301763e-01,2.591893908900999577e-02,3.858182607574453016e+01
1.027081508672939236e+00,2.638941748222188577e-02,3.780521458213812025e+01,7.076231218039030768e-01,2.636743865433854861e-02,3.792556467502990358e+01
1.027554629261223873e+00,2.684016673402369116e-02,3.717115778076113486e+01,7.076167189191732154e-01,2.681573171543660816e-02,3.729154253972286881e+01
1.028027967790430264e+00,2.729078473090514392e-02,3.655822847182876956e+01,7.076103130849825673e-01,2.726381836738500652e-02,3.667864810881640381e+01
1.028501524360952546e+00,2.774127087096244296e-02,3.596538797749124683e+01,7.076039042999725526e-01,2.771169870522227630e-02,3.608584268461138578e+01
1.028975299073230154e+00,2.819162452549667242e-02,3.539166460774032430e+01,7.075974925627839252e-01,2.815937282394187502e-02,3.551215455870424620e+01
1.029449292027749152e+00,2.864184504098250122e-02,3.483614834575151775e+01,7.075910778720566618e-01,2.860684081849396154e-02,3.495667369720575834e+01
1.029923503325042011e+00,2.909193174097209761e-02,3.429798603130858226e+01,7.075846602264302954e-01,2.905410278378528499e-02,3.441854692405394189e+01
1.030397933065687166e+00,2.954188392793685378e-02,3.377637698868720406e+01,7.075782396245435812e-01,2.950115881467840762e-02,3.389697354879654512e+01
1.030872581350309680e+00,2.999170088505043533e-02,3.327056905187118474e+01,7.075718160650348310e-01,2.994800900599237092e-02,3.339120139171547663e+01
1.031347448279581025e+00,3.044138187791265923e-02,3.277985494560448387e+01,7.075653895465415788e-01,3.039465345250291772e-02,3.290052316479537353e+01
1.031822533954218635e+00,3.089092615621464102e-02,3.230356898566140700e+01,7.075589600677008040e-01,3.084109224894149293e-02,3.242427317191793890e+01
1.032297838474986795e+00,3.134033295535016556e-02,3.184108406595689544e+01,7.075525276271488195e-01,3.128732548999657581e-02,3.196182429590307095e+01
1.032773361942695978e+00,3.178960149796979801e-02,3.139180890382692368e+01,7.075460922235212724e-01,3.173335327031256980e-02,3.151258524372612158e+01
1.033249104458203060e+00,3.223873099548319604e-02,3.095518551802870633e+01,7.075396538554533654e-01,3.217917568449057963e-02,3.107599802446060622e+01
1.033725066122411551e+00,3.268772064950799250e-02,3.053068691684532254e+01,7.075332125215795243e-01,3.262479282708807826e-02,3.065153563733004916e+01
1.034201247036271143e+00,3.313656965326763210e-02,3.011781497615222492e+01,7.075267682205333974e-01,3.307020479261868484e-02,3.023869994972638864e+01
1.034677647300778380e+00,3.358527719294047975e-02,2.971609848948083865e+01,7.075203209509484115e-01,3.351541167555316392e-02,2.983701974722932349e+01
1.035154267016976437e+00,3.403384244895816396e-02,2.932509137403338073e+01,7.075138707114568826e-01,3.396041357031853725e-02,2.944604893958069525e+01
1.035631106285954228e+00,3.448226459725686061e-02,2.894437101828719605e+01,7.075074175006909050e-01,3.440521057129763971e-02,2.906536490825155994e+01
1.036108165208848186e+00,3.493054281048417475e-02,2.857353675831867079e+01,7.075009613172816847e-01,3.484980277283100669e-02,2.869456698273203799e+01
1.036585443886840707e+00,3.537867625915701308e-02,2.821220847130371823e+01,7.074933687410682737e-01,3.529419026921487568e-02,2.833327503400023772e+01
1.037062942421161038e+00,3.582666411277788537e-02,2.786002527580873434e+01,7.074854328624829991e-01,3.573837315470229647e-02,2.798112817478443048e+01
1.037540660913085055e+00,3.627450554090711626e-02,2.751664432953431216e+01,7.074774933282700351e-01,3.618235152350313122e-02,2.763778355728000591e+01
1.038018599463935265e+00,3.672219971419238976e-02,2.718173971609112272e+01,7.074695501367455064e-01,3.662612546978372130e-02,2.730291525990081780e+01
1.038496758175081025e+00,3.716974580535759715e-02,2.685500141320916612e+01,7.074616032862247605e-01,3.706969508766710941e-02,2.697621325546577609e+01
1.038975137147938099e+00,3.761714299015130047e-02,2.653613433551494083e+01,7.074536527750221460e-01,3.751306047123292853e-02,2.665738245395506567e+01
1.039453736483968882e+00,3.806439044825576240e-02,2.622485744566398935e+01,7.074456986014514559e-01,3.795622171451717985e-02,2.634614181362335827e+01
1.039932556284682841e+00,3.851148736415906104e-02,2.592090292820003583e+01,7.074377407638255955e-01,3.839917891151323204e-02,2.604222351484109055e+01
1.040411596651636073e+00,3.895843292798770868e-02,2.562401542103869900e+01,7.074297792604568036e-01,3.884193215617071093e-02,2.574537219156160717e+01
1.040890857686431525e+00,3.940522633630490906e-02,2.533395129993782646e+01,7.074218140896564311e-01,3.928448154239616574e-02,2.545534421577617223e+01
1.041370339490718777e+00,3.985186679287220507e-02,2.505047801174232802e+01,7.074138452497350515e-01,3.972682716405284697e-02,2.517190703074466640e+01
1.041850042166194257e+00,4.029835350937698707e-02,2.477337345256779599e+01,7.074058727390025725e-01,4.016896911496059541e-02,2.489483852916599815e+01
