omega,lmax_eff,sigma_abs
5.140000000000004121e+00,1.700000000000000000e+01,1.989761374139929018e+01
5.160000000000003695e+00,1.700000000000000000e+01,1.983484423168187405e+01
5.180000000000003268e+00,1.700000000000000000e+01,1.976431461436950343e+01
5.200000000000003730e+00,1.700000000000000000e+01,1.969398398322227450e+01
5.220000000000004192e+00,1.700000000000000000e+01,1.962760555505585813e+01
5.240000000000003766e+00,1.700000000000000000e+01,1.957027546312681565e+01
5.260000000000003340e+00,1.800000000000000000e+01,1.952889114125886039e+01
5.280000000000003801e+00,1.800000000000000000e+01,1.950803807090721165e+01
5.300000000000004263e+00,1.800000000000000000e+01,1.950532374379949374e+01
5.320000000000003837e+00,1.800000000000000000e+01,1.952927238487924555e+01
5.340000000000003411e+00,1.800000000000000000e+01,1.955257143632973538e+01
5.360000000000003872e+00,1.800000000000000000e+01,1.964072836824215429e+01
