theta_deg,log10_dsigma_dOmega
146.26161544,0.66852058
146.37598284,0.64716352
146.49035025,0.62491657
146.60471766,0.60177976
146.71908506,0.57775306
146.83345247,0.55194661
146.94781987,0.52525028
147.06218728,0.49677419
147.17655468,0.46740823
147.29092209,0.43626251
147.40528949,0.40333704
147.51965690,0.37612162
147.63402430,0.35461624
147.74839171,0.33882091
147.86275911,0.32962551
147.97712652,0.32703003
148.09149392,0.32443456
148.20586133,0.32183908
148.32022873,0.31924360
148.43459614,0.31664813
148.54896355,0.31405265
148.66333095,0.31145717
148.77769836,0.30886170
148.89206576,0.30626622
149.00643317,0.30367075
149.12080057,0.30107527
149.23516798,0.29847979
149.34953538,0.29588432
149.46390279,0.29328884
149.57827019,0.29069336
149.69263760,0.28809789
149.80700500,0.28550241
149.92137241,0.28290693
150.03573981,0.28031146
150.15010722,0.27771598
150.26447462,0.27563960
150.37884203,0.27408231
150.49320944,0.27304412
150.60757684,0.28142380
150.72194425,0.29922136
150.83631165,0.32502781
150.95067906,0.35884316
151.06504646,0.39977753
151.17941387,0.43893215
151.29378127,0.47630701
151.40814868,0.51190211
151.52251608,0.54571746
151.63688349,0.57686318
151.75125089,0.60622914
151.86561830,0.63381535
151.97998570,0.65873192
152.09435311,0.68186874
