theta_deg,log10_dsigma_dOmega
102.68763402,0.72191324
102.80200143,0.70856507
102.91636883,0.69521691
103.03073624,0.68097887
103.14510365,0.66674082
103.25947105,0.65250278
103.37383846,0.63515017
103.48820586,0.61468298
103.60257327,0.59777531
103.71694067,0.58264739
103.83130808,0.56840934
103.94567548,0.55728587
104.06004289,0.55016685
104.17441029,0.54037820
104.28877770,0.52969967
104.40314510,0.51991101
104.51751251,0.51101224
104.63187991,0.50300334
104.74624732,0.49677419
104.86061472,0.49143493
104.97498213,0.48698554
105.08934954,0.48431591
105.20371694,0.48253615
105.31808435,0.48164627
105.43245175,0.48164627
105.54681916,0.48253615
105.66118656,0.48431591
105.77555397,0.48698554
105.88992137,0.49143493
106.00428878,0.49766407
106.11865618,0.50478309
106.23302359,0.51279199
106.34739099,0.52258065
106.46175840,0.53325918
106.57612580,0.54393771
106.69049321,0.55550612
106.80486061,0.57686318
106.91922802,0.59555061
107.03359543,0.61156841
107.14796283,0.62580645
107.26233024,0.64004449
107.37669764,0.64538376
107.49106505,0.65339266
107.60543245,0.66318131
107.71979986,0.67563960
107.83416726,0.68809789
107.94853467,0.69966630
108.06290207,0.71123471
108.17726948,0.72280311
108.29163688,0.73437152
108.40600429,0.74505006
108.52037169,0.75572859
108.63473910,0.76611049
108.74910650,0.77708565
108.86347391,0.78776418
108.97784132,0.79666296
109.09220872,0.80378198
109.20657613,0.80941787
109.32094353,0.81357063
109.43531094,0.81624027
109.54967834,0.81890990
109.66404575,0.82246941
109.77841315,0.82602892
109.89278056,0.82869855
110.00714796,0.83136819
110.12151537,0.83403782
110.23588277,0.83581758
110.35025018,0.83670745
110.46461758,0.83759733
110.57898499,0.83759733
110.69335239,0.83759733
110.80771980,0.83759733
110.92208721,0.83759733
111.03645461,0.83670745
111.15082202,0.83492770
111.26518942,0.83225806
111.37955683,0.82869855
111.49392423,0.82335929
111.60829164,0.81802002
111.72265904,0.81179088
111.83702645,0.80467186
111.95139385,0.79666296
112.06576126,0.78865406
112.18012866,0.77975528
112.29449607,0.77085651
112.40886347,0.76106785
112.52323088,0.75127920
112.63759828,0.74060067
112.75196569,0.72903226
112.86633310,0.71657397
112.98070050,0.70411568
113.09506791,0.68987764
113.20943531,0.67563960
113.32380272,0.66140156
113.43817012,0.64627364
113.55253753,0.63025584
113.66690493,0.61423804
113.78127234,0.59822024
113.89563974,0.58131257
114.01000715,0.56440489
114.12437455,0.54749722
114.23874196,0.53058954
114.35310936,0.51279199
114.46747677,0.49499444
114.58184417,0.47719689
114.69621158,0.45939933
114.81057898,0.44249166
114.92494639,0.42647386
115.03931380,0.41045606
115.15368120,0.39621802
115.26804861,0.38286986
115.38241601,0.37041157
115.49678342,0.35884316
115.61115082,0.34994438
115.72551823,0.34193548
115.83988563,0.33659622
115.95425304,0.33303671
116.06862044,0.33125695
116.18298785,0.33036707
116.29735525,0.33125695
116.41172266,0.33303671
116.52609006,0.33748610
116.64045747,0.34371524
116.75482487,0.35261402
116.86919228,0.36329255
116.98355969,0.37575083
117.09792709,0.38909900
117.21229450,0.40333704
117.32666190,0.41846496
117.44102931,0.43359288
117.55539671,0.44961068
117.66976412,0.46562848
117.78413152,0.48253615
117.89849893,0.49944383
118.01286633,0.52525028
118.12723374,0.54749722
118.24160114,0.56618465
118.35596855,0.58309232
118.47033595,0.59911012
118.58470336,0.60711902
118.69907076,0.61779755
118.81343817,0.63114572
118.92780558,0.64538376
119.04217298,0.65962180
119.15654039,0.67296997
119.27090779,0.68631813
119.38527520,0.69877642
119.49964260,0.71123471
119.61401001,0.72191324
119.72837741,0.73348165
119.84274482,0.74593993
119.95711222,0.75661846
120.07147963,0.76462736
120.18584703,0.77352614
120.30021444,0.77975528
120.41458184,0.78331479
120.52894925,0.78776418
120.64331665,0.79310345
120.75768406,0.79755284
120.87205147,0.80111235
120.98641887,0.80467186
121.10078628,0.80734149
121.21515368,0.80912125
121.32952109,0.81001112
121.44388849,0.81090100
121.55825590,0.81090100
121.67262330,0.81090100
121.78699071,0.81090100
121.90135811,0.81001112
122.01572552,0.80823137
122.13009292,0.80556174
122.24446033,0.80200222
122.35882773,0.79755284
122.47319514,0.79221357
122.58756254,0.78598443
122.70192995,0.77886541
122.81629736,0.77174638
122.93066476,0.76284761
123.04503217,0.75394883
123.15939957,0.74416018
123.27376698,0.73437152
123.38813438,0.72280311
123.50250179,0.71034483
123.61686919,0.69699666
123.73123660,0.68364850
123.84560400,0.66852058
123.95997141,0.65339266
124.07433881,0.63826474
124.18870622,0.62046719
124.30307362,0.60355951
124.41744103,0.58576196
124.53180843,0.56707453
124.64617584,0.54838710
124.76054325,0.53058954
124.87491065,0.51012236
124.98927806,0.49054505
125.10364546,0.47007786
125.21801287,0.44783092
125.33238027,0.42558398
125.44674768,0.40333704
125.56111508,0.38020022
125.67548249,0.35706340
125.78984989,0.33303671
125.90421730,0.30723026
126.01858470,0.28587319
126.13295211,0.26540601
126.24731951,0.24671858
126.36168692,0.23159066
