r,gtt,grr,phi,gtt_schw,grr_schw
1.080453265757826520e+00,7.925899384060662578e-02,1.300513952160259556e+01,4.705550116625849544e-01,7.446251337987941366e-02,1.342957623386119792e+01
1.080950971811720507e+00,7.970686673600624328e-02,1.290964998623554472e+01,4.704850647369820948e-01,7.488866185673825893e-02,1.335315620825214467e+01
1.081448907131723702e+00,8.015337701671383652e-02,1.281636098833377524e+01,4.704150855906349959e-01,7.531461412055684423e-02,1.327763557812684425e+01
1.081947071823446072e+00,8.059850084381835200e-02,1.272538158636185557e+01,4.703450742087013081e-01,7.574037026167790287e-02,1.320299856661734061e+01
1.082445465992546652e+00,8.104222430725356585e-02,1.263680581416459603e+01,4.702750305763319094e-01,7.616593037040286784e-02,1.312922976371319272e+01
1.082944089744733551e+00,8.148454346781300317e-02,1.255071215249135186e+01,4.702049546786706835e-01,7.659129453699198287e-02,1.305631411565998690e+01
1.083442943185763063e+00,8.192546430749883535e-02,1.246716315291301136e+01,4.701348465008548527e-01,7.701646285166330319e-02,1.298423691472352814e+01
1.083942026421440330e+00,8.236500259038755101e-02,1.238620521110662054e+01,4.700647060280146450e-01,7.744143540459369479e-02,1.291298378930462931e+01
1.084441339557619122e+00,8.280318363693553452e-02,1.230786848539962897e+01,4.699945332452735713e-01,7.786621228591827926e-02,1.284254069439107759e+01
1.084940882700202280e+00,8.324004201535341319e-02,1.223216695546944877e+01,4.699243281377481485e-01,7.829079358573098890e-02,1.277289390233306499e+01
1.085440655955141276e+00,8.367562115431984027e-02,1.215909861519188162e+01,4.698363398389453494e-01,7.871517939408412268e-02,1.270402999392967835e+01
1.085940659428436206e+00,8.410997288189776822e-02,1.208864579282193930e+01,4.697391642389132649e-01,7.913936980098834617e-02,1.263593584981405016e+01
1.086440893226136017e+00,8.454315689604630091e-02,1.202077559097711301e+01,4.696419438753676734e-01,7.956336489641302467e-02,1.256859864212559508e+01
1.086941357454338952e+00,8.497524017258702156e-02,1.195544043827419145e+01,4.695446787276883471e-01,7.998716477028633420e-02,1.250200582645830139e+01
1.087442052219191657e+00,8.540629631688859136e-02,1.189257874394650649e+01,4.694473687752457325e-01,8.041076951249470639e-02,1.243614513407453437e+01
1.087942977626889851e+00,8.583640486587226781e-02,1.183211564633779389e+01,4.693500139974006724e-01,8.083417921288327257e-02,1.237100456437393881e+01
1.088444133783678103e+00,8.626565054721092862e-02,1.177396384583052402e+01,4.692526143735045729e-01,8.125739396125575276e-02,1.230657237760798672e+01
1.088945520795850053e+00,8.669412250280215948e-02,1.171802451251662092e+01,4.691551698828992922e-01,8.168041384737478872e-02,1.224283708783069535e+01
1.089447138769748191e+00,8.712191348373300726e-02,1.166418825875562959e+01,4.690576805049171405e-01,8.210323896096127783e-02,1.217978745607689461e+01
1.089948987811763859e+00,8.754911902403451907e-02,1.161233616668489610e+01,4.689601462188810466e-01,8.252586939169503921e-02,1.211741248375911795e+01
1.090451068028337689e+00,8.797583660053072407e-02,1.156234086074538148e+01,4.688625670041042248e-01,8.294830522921470273e-02,1.205570140627534137e+01
1.090953379525959388e+00,8.840216478604183414e-02,1.151406761536043710e+01,4.687649428398904528e-01,8.337054656311748690e-02,1.199464368681963933e+01
1.091455922411167512e+00,8.882820240309327597e-02,1.146737548804869355e+01,4.686672737055339599e-01,8.379259348295942100e-02,1.193422901038820605e+01
